name,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017",adjective,adjective_plural
Benin,ben,africa,africa_sub_saharan,sub_saharan_africa,g77,9.5,2.25,20/9/1960,Sub-Saharan Africa,Low income,"Beninese, Beninois","Beninese, Beninois"
Bhutan,btn,asia,asia_west,south_asia,g77,27.5,90.5,21/9/1971,South Asia,Lower middle income,Bhutanese,Bhutanese
Bolivia,bol,americas,america_south,america,g77,-17,-65,14/11/1945,Latin America & Caribbean,Lower middle income,Bolivian,Bolivians
Bosnia and Herzegovina,bih,europe,europe_east,europe_central_asia,g77,44.25,17.83333,22/5/1992,Europe & Central Asia,Upper middle income,"Bosnian, Herzegovinian","Bosnian, Herzegovinians"
Botswana,bwa,africa,africa_sub_saharan,sub_saharan_africa,g77,-22,24,17/10/1966,Sub-Saharan Africa,Upper middle income,"Motswana, Botswanan","Batswana (singular Motswana), Botswanans"
Brazil,bra,americas,america_south,america,g77,-10,-55,24/10/1945,Latin America & Caribbean,Upper middle income,Brazilian,Brazilians
Brunei,brn,asia,east_asia_pacific,east_asia_pacific,g77,4.5,114.66667,21/9/1984,East Asia & Pacific,High income,Bruneian,Bruneians
Bulgaria,bgr,europe,europe_east,europe_central_asia,others,42.66667,25.25,14/12/1955,Europe & Central Asia,Upper middle income,Bulgarian,Bulgarians
Burkina Faso,bfa,africa,africa_sub_saharan,sub_saharan_africa,g77,12.5,-1.66667,20/9/1960,Sub-Saharan Africa,Low income,Burkinabé,Burkinabè/Burkinabé
Burundi,bdi,africa,africa_sub_saharan,sub_saharan_africa,g77,-3.5,30,18/9/1962,Sub-Saharan Africa,Low income,Burundian,"Burundians, Barundi"
Cambodia,khm,asia,east_asia_pacific,east_asia_pacific,g77,13,105,14/12/1955,East Asia & Pacific,Lower middle income,Cambodian,Cambodians
Cameroon,cmr,africa,africa_sub_saharan,sub_saharan_africa,g77,6,12.5,20/9/1960,Sub-Saharan Africa,Lower middle income,Cameroonian,Cameroonians
Canada,can,americas,america_north,america,oecd,60.10867,-113.64258,9/11/1945,North America,High income,Canadian,Canadians
Cape Verde,cpv,africa,africa_sub_saharan,sub_saharan_africa,g77,16,-24,16/9/1975,Sub-Saharan Africa,Lower middle income,Cape Verdian,Cape Verdians
